x;sin;cos;ctg;csc;sec;trig_f;ln;log2;log10;logarithm;main
-1,5;-0,997391183;0,072186065;-0,072374878;-1,002615641;13,85308921;0,865699195;;;;;0,865699195
-1,4;-0,985393796;0,170291126;-0,172815302;-1,014822708;5,87229659;0,713233592;;;;;0,713233592
-1,3;-0,963529406;0,267602472;-0,277731505;-1,037851044;3,736886258;0,593282862;;;;;0,593282862
-1,2;-0,932736;0,360560056;-0,386561746;-1,072114725;2,773463067;0,506310046;;;;;0,506310046
-1,1;-0,891587583;0,452848298;-0,507912298;-1,121594803;2,208245021;0,447221888;;;;;0,447221888
-1;-0,841666667;0,539997428;-0,641581103;-1,188118812;1,851860672;0,420061328;;;;;0,420061328
-0,9;-0,78342075;0,621491696;-0,793305125;-1,276453298;1,609031957;0,4289747;;;;;0,4289747
-0,8;-0,717397333;0,696664242;-0,97109957;-1,393927679;1,435411694;0,486176301;;;;;0,486176301
-0,7;-0,644233917;0,764828517;-1,187190704;-1,552231222;1,307482629;0,62000302;;;;;0,62000302
-0,6;-0,564;0,825774788;-1,464139695;-1,773049645;1,210983933;0,897329656;;;;;0,897329656
-0,5;-0,479166667;0,877723935;-1,83177169;-2,086956522;1,139310392;1,46224345;;;;;1,46224345
-0,4;-0,389333333;0,921096931;-2,365831157;-2,568493151;1,08566207;2,713914306;;;;;2,713914306
-0,3;-0,2955;0,95534274;-3,232970354;-3,384094755;1,046744753;5,898836351;;;;;5,898836351
-0,2;-0,198666667;0,980067118;-4,933223748;-5,033557047;1,020338283;16,43078061;;;;;16,43078061
-0,1;-0,1;0,994987437;-9,949874371;-10;1,005037815;81,09025126;;;;;81,09025126
-1,88E-14;0;1;,,,;;;;;;;;
0,1;0,1;0,994987437;9,949874371;10;1,005037815;120,8897487;-2,302570195;-3,321907113;-1;-73,76021431;-73,76021431
0,2;0,198666667;0,980067118;4,933223748;5,033557047;1,020338283;36,1636756;-1,609432515;-2,321920666;-0,698972183;-29,36941566;-29,36941566
0,3;0,2955;0,95534274;3,232970354;3,384094755;1,046744753;18,83071777;-1,20397169;-1,736964255;-0,522881645;-13,08560934;-13,08560934
0,4;0,389333333;0,921096931;2,365831157;2,568493151;1,08566207;12,17723894;-0,916290251;-1,321927604;-0,397942374;-5,960607237;-5,960607237
0,5;0,479166667;0,877723935;1,83177169;2,086956522;1,139310392;8,789330209;-0,693147074;-1;-0,301031897;-2,630165864;-2,630165864
0,6;0,564;0,825774788;1,464139695;1,773049645;1,210983933;6,753888434;-0,510825578;-0,736965642;-0,221850165;-1,065078282;-1,065078282
0,7;0,644233917;0,764828517;1,187190704;1,552231222;1,307482629;5,368765837;-0,356674906;-0,514573198;-0,154902946;-0,365133959;-0,365133959
0,8;0,717397333;0,696664242;0,97109957;1,393927679;1,435411694;4,370574582;-0,223143491;-0,321928057;-0,096910614;-0,089776346;-0,089776346
0,9;0,78342075;0,621491696;0,793305125;1,276453298;1,609031957;3,602195201;-0,105360515;-0,152003116;-0,045757786;-0,00946954;-0,00946954
1;0,841666667;0,539997428;0,641581103;1,188118812;1,851860672;2,986385738;-1,89E-14;-2,72E-14;-8,20E-15;-5,45E-41;-5,45E-41
1,1;0,891587583;0,452848298;0,507912298;1,121594803;2,208245021;2,47887108;0,09531018;0,137503545;0,041392953;0,007010666;0,007010666
1,2;0,932736;0,360560056;0,386561746;1,072114725;2,773463067;2,052557029;0,182321542;0,263034425;0,079181752;0,049011985;0,049011985
1,3;0,963529406;0,267602472;0,277731505;1,037851044;3,736886258;1,704208881;0,262364262;0,378511678;0,113944088;0,145776337;0,145776337
1,4;0,985393796;0,170291126;0,172815302;1,014822708;5,87229659;1,4044948;0,336472214;0,485426869;0,146128971;0,306763257;0,306763257
1,5;0,997391183;0,072186065;0,072374878;1,002615641;13,85308921;1,155198707;0,40546499;0,584962421;0,176092347;0,53535448;0,53535448
1,6;0,999388566;-0,034964174;-0,034985565;1,000611808;-28,6007044;0,932475353;0,470003198;0,678071387;0,204121116;0,831354616;0,831354616
1,7;0,991346443;-0,131271589;-0,132417471;1,008729095;-7,617794613;0,769931675;0,530628182;0,765534765;0,230450383;1,192505276;1,192505276
1,8;0,973316777;-0,229465578;-0,235756316;1,027414736;-4,357952117;0,63672286;0,587786463;0,847996745;0,255274069;1,615388455;1,615388455
1,9;0,945439366;-0,325798104;-0,344599681;1,057709289;-3,069385571;0,535693983;0,641853377;0,925998827;0,278755183;2,096013148;2,096013148
2;0,909347443;-0,416037533;-0,457512182;1,099689682;-2,403629292;0,467380261;0,693147074;1;0,301031897;2,630165864;2,630165864
2,1;0,863294689;-0,504700188;-0,584620981;1,158353008;-1,981374336;0,427262009;0,741937101;1,07038914;0,322221274;3,213594991;3,213594991
2,2;0,808638349;-0,58830606;-0,727526787;1,236646767;-1,699795511;0,420345672;0,788456852;1,137502966;0,342424676;3,842177096;3,842177096
